"Country,
Other","Deaths in
1M pop","Total
Tests","Tests in
1M pop",Population
Lesotho,324,"431,221","198,199","2,175,699"
Haiti,73,"132,422","11,337","11,680,283"
Mali,35,"759,178","35,354","21,473,764"
Cayman Islands,476,"222,773","3,311,280","67,277"
Saint Lucia,"2,112","210,354","1,136,355","185,113"
Benin,13,"604,310","47,268","12,784,726"
Somalia,80,"400,466","23,778","16,841,795"
Congo,67,"347,815","59,991","5,797,805"
Timor-Leste,101,"278,529","203,391","1,369,429"
Burkina Faso,18,"248,995","11,265","22,102,838"
Solomon Islands,212,"5,117","7,096","721,159"
San Marino,"3,462","157,634","4,624,732","34,085"
Gibraltar,"3,204","534,283","15,852,213","33,704"
Liechtenstein,"2,240","102,174","2,661,682","38,387"
Grenada,"2,089","179,808","1,584,560","113,475"
Nicaragua,33,,,"6,779,100"
Bermuda,"2,389","1,006,083","16,243,126","61,939"
South Sudan,12,"410,280","35,313","11,618,511"
Tajikistan,13,,,"9,957,464"
Equatorial Guinea,122,"365,697","244,342","1,496,662"
Tonga,111,"535,009","4,965,327","107,749"
Samoa,143,"187,397","926,612","202,239"
Dominica,"1,023","228,799","3,162,653","72,344"
Djibouti,186,"305,941","301,094","1,016,097"
Marshall Islands,283,,,"60,057"
CAR,23,"81,294","16,205","5,016,678"
Monaco,"1,584","78,646","1,976,875","39,783"
Gambia,145,"155,686","60,851","2,558,482"
Saint Martin,"1,586","112,382","2,828,643","39,730"
Greenland,369,"164,926","2,894,810","56,973"
Yemen,69,"329,592","10,579","31,154,867"
Vanuatu,44,"24,976","77,606","321,832"
Caribbean Netherlands,"1,351","30,126","1,130,559","26,647"
Sint Maarten,"1,979","62,056","1,411,454","43,966"
Eritrea,28,"23,693","6,470","3,662,244"
Niger,12,"254,538","9,759","26,083,660"
Micronesia,247,"21,923","186,596","117,489"
Antigua and Barbuda,"1,467","18,901","189,943","99,509"
Guinea-Bissau,85,"145,231","70,385","2,063,367"
Comoros,177,,,"907,419"
Liberia,55,"139,824","26,356","5,305,117"
Sierra Leone,15,"259,958","31,296","8,306,436"
Chad,11,"191,341","10,988","17,413,580"
British Virgin Islands,"2,092","107,339","3,508,269","30,596"
St. Vincent Grenadines,"1,031","100,856","904,125","111,551"
Saint Kitts and Nevis,854,"124,861","2,317,778","53,871"
Cook Islands,57,"19,690","1,120,596","17,571"
Turks and Caicos,906,"550,093","13,841,952","39,741"
Sao Tome and Principe,338,"29,036","127,530","227,679"
Palau,329,"64,681","3,547,469","18,233"
St. Barth,603,"78,646","7,908,095","9,945"
Nauru,92,"20,509","1,881,042","10,903"
Anguilla,788,"51,382","3,373,736","15,230"
Kiribati,105,,,"123,419"
Saint Pierre Miquelon,174,"24,902","4,324,015","5,759"
Falkland Islands,,"8,632","2,439,107","3,539"
Montserrat,"1,611","17,579","3,540,584","4,965"
Saint Helena,,,,"6,115"
Macao,9,"7,850","11,760","667,490"
Wallis and Futuna,637,"20,508","1,867,419","10,982"
Diamond Princess,,,,
Niue,,,,"1,622"
Vatican City,,,,799
Tuvalu,,,,"12,066"
Western Sahara,2,,,"626,161"
MS Zaandam,,,,
